course_id,is_open,credit,course_name,syllabus_id
10023,1,3,기독교와세계,0
11256,0,2,공존과협력의유토피아,0
11254,0,2,관계의미학:사랑과윤리,0
11095,1,2,나눔리더십,0
11253,0,2,나눔의인간학,0
11252,0,2,청춘의자기이해,0
10021,1,3,우리말과글쓰기,0
11094,1,2,고전읽기와글쓰기,0
11073,0,2,프랑스어Ⅰ,0
11074,1,2,프랑스어 Ⅱ,0
11033,0,2,독일어I,0
11034,1,2,독일어Ⅱ,0
11091,0,2,일본어Ⅰ,0
11092,1,2,일본어Ⅱ,0
11066,0,2,스페인어 I,0
11067,1,2,스페인어 II,0
11064,0,2,러시아어 I,0
11065,1,2,러시아어 II,0
11107,1,3,21세기의예술과인간,0
11164,1,3,Contemporary Photography,0
10018,0,3,국악의이해,0
10033,1,3,동양미술의이해,0
10778,0,3,디지털매체와예술,0
10576,1,3,무용의이해,0
11153,0,3,문화콘텐츠기획의이해,0
11328,0,3,미술로치유하는마음,0
11083,1,3,미학과미술,0
11135,1,3,사물과예술,0
11329,0,3,색채의이해,0
10072,1,3,서양미술의이해,0
10073,1,3,서양음악의이해,0
11084,0,3,시각문화로서미술작품읽기,0
10090,1,3,여성과예술,0
11113,1,3,여성의몸과창조적움직임,0
10097,1,3,연극의이론과실제,0
11110,0,3,예술가와그의시대,0
10100,0,3,예술과사상,0
11055,0,3,옛시와그림의만남,0
11075,0,3,창조와상상의기술,0
11035,0,3,"퍼포먼스인문학: 제의,놀이,연극",0
10892,0,3,"표현,예술,그리고시대정신",0
10152,1,3,한국미술의이해,0
11333,1,3,"한국사와상상력,스토리텔링",0
10883,0,3,한국의문화공간과예술,0
10165,1,3,현대미술사,0
11330,0,3,Reading American Popular Culture in the Digital Age,0
11265,1,3,음악과건강,0
11116,0,3,Introduction to World Music and Culture,0
11190,0,3,The Art of Thinking,0
10545,1,3,근대일본과동아시아,0
11046,0,3,동서양의인간이해,0
10034,1,3,동양철학의이해,0
10769,0,3,모던/포스트모던문화읽기,0
11056,0,3,문화로읽는한국사,0
11185,1,3,문화와예술을통해본르네상스역사,0
10772,1,3,여성과사회정의,0
11054,1,3,연어프로젝트: 한국여성나의뿌리를찾아서,0
10108,1,3,인간과종교,0
11041,1,3,인간과철학적사유,0
11293,1,3,인물로본중국의역사,0
10581,1,3,인물로읽는한국사,0
11078,1,3,젠더와역사,0
10767,1,3,종교와문화,0
11057,1,3,주제로살펴보는서양근현대사,0
10544,1,3,중국의역사와문화,0
11294,1,3,질병치료와백신의역사,0
11189,1,3,철학의은유들,0
11045,1,3,패러다임전환과비판이론,0
10149,1,3,한국근현대사,0
11058,1,3,한국사의새로운이해,0
11366,1,3,한국의문화유산역사여행,0
11186,0,3,Evolutionary Origin of Humans,0
11295,0,3,인공지능시대의과학과종교,0
11360,0,3,ICT융복합복지와법,0
10011,1,3,가족건강과간호,0
10932,0,3,건축으로읽는사회문화사,0
10013,0,3,경영과사회,0
10913,0,3,글로벌시대의다문화사회,0
10914,1,3,글로컬시대의아시아여성,0
10091,1,3,노동과젠더,0
11332,1,3,도시⋅공간문화로읽는한국사,0
10886,0,3,동양고전의현대적이해,0
11292,0,3,모방과인간,0
11193,0,3,법과젠더,0
10549,1,3,북한정치의이해,0
10548,1,3,북한주민의문화와생활,0
10929,0,3,브레인스펙트럼,0
11351,1,3,삶을위한멘탈코칭,0
10573,1,3,생명윤리와법,0
10074,1,3,성문화연구,0
10081,1,3,시민생활과법,0
10094,1,3,여성학,0
11089,0,3,여행과지리:글로벌화의지역탐색,0
10908,0,3,영상이미지와젠더,0
10904,1,3,우리사회의문제와쟁점찾기,0
11358,1,3,인간관계심리,0
10109,1,3,인간발달과가족,0
10903,1,3,인간발달과문화다양성,0
11114,1,3,인간은왜춤을추는가,0
11103,0,3,인터넷과법,0
11359,1,3,정신건강과행복,0
11104,1,3,죄와벌,0
10905,1,3,지구촌의사회복지,0
11105,0,3,직업세계와법,0
11039,0,3,키워드로읽는중국문화,0
10887,1,3,현대중국의사회와문화,0
11162,0,3,Middle Eastern Political Theology: Religious Sources,0
11259,1,3,SDGs시대글로벌보건협력:개발도상국의보건의료현황과국제사회의지원,0
11161,0,3,Social and Cultural Impact of Video Games,0
11296,0,3,청춘의아픔과치유:행복인문학,0
10181,0,3,환경과인간,0
11188,1,3,Introduction to Ethnic Conflict and Management,0
11163,0,3,Literacy in the 21st Century,0
10949,0,3,국제구호와개발협력,0
11106,0,3,글로벌시민의이해와리더십,0
10933,1,3,대학생의성건강,0
11308,0,3,데이터로고전읽기,0
11079,0,3,장애와사회,0
10930,0,3,Behavior of Animals,0
11111,0,3,SF영화로배우는철학,0
11155,1,3,과학과허구,0
11101,0,3,과학문화와커뮤니케이션,0
11043,0,3,글로벌사회의기록과정보,0
10776,0,3,글로벌시민을위한과학소양,0
11044,0,3,디지털네이티브와검색엔진,0
11152,0,3,모바일멀티미디어프로그래밍,0
10559,1,3,미래를위한환경의이해,0
11154,0,3,사물인터넷개론,0
11191,0,3,식물의모든것,0
10052,1,3,약과건강,0
11102,0,3,"에너지의이해,이용,실천",0
11257,0,3,에피소드로보는과학철학,0
10910,1,3,위험판단심리학,0
10104,0,3,응용통계입문,0
11336,0,3,인공지능과인간,0
11261,0,3,인공지능시대의정보산업이해,0
10556,1,3,인터넷과소셜컴퓨팅,0
11156,1,3,"자연과의대화,환경생태",0
11160,1,3,정보기술과미래사회,0
10123,1,3,정보사회와인터넷윤리,0
11096,0,3,정보화사회와통계,0
10135,0,3,지구의역사,0
11042,1,3,컴퓨터와마음,0
11145,0,3,크리에이티브컴퓨팅,0
10164,0,3,현대물리학과인간사고의변혁,0
11157,0,3,환경재난과국제협력,0
11159,0,3,General Biology,0
11262,0,3,생활속의미생물,0
11419,1,3,기업가정신과기술사업화기획,0
11187,0,3,빅데이터사회와정보활용,0
11264,0,3,세계의자연유산과지오투어리즘,0
11214,0,3,간호와휴머니즘,0
11206,0,3,계산의기초와융합적문제해결,0
11207,1,3,과학자를위한기초현대통계학론,0
11210,1,3,교육커뮤니케이션의이해와실제,0
11212,1,3,글로벌커리어개발과기업가정신,0
11204,1,3,논리로과학읽기,0
11385,1,3,데이터과학적사고와사회문제해결과정,0
11357,0,3,데이터컨버전스와법,0
11373,1,3,데이터컴퓨팅,0
11356,0,3,리눅스와시스템적사고,0
11309,1,3,문제해결과SW프로그래밍,0
11365,0,3,빅데이터와젠더,0
11367,1,3,사회문제해결을위한R프로그래밍기초,0
11393,0,3,생활속금융을위한컴퓨터코딩,0
11386,1,3,소셜임팩트를위한사회적경제분석,0
11209,1,3,시각적사고를통한일상의문화와트랜드,0
11263,0,3,예술과기술,0
11233,1,3,음악과테크놀로지,0
11235,0,3,의료생명분야에서의컴퓨터적사고,0
11394,1,3,인공지능융합교육의이해,0
11395,0,3,인공지능파운데이션,0
11368,0,3,정보와인공지능의수리적이해,0
11213,0,3,질병과몸의역사,0
11205,1,3,컴퓨터과학적인식과문제해결,0
11374,1,3,컴퓨터보안과윈도우포렌식,0
11362,1,3,컴퓨터속의우주,0
11369,1,3,컴퓨터식문제해결기법,0
11392,1,3,컴퓨터식사고와상담심리학,0
11232,1,3,컴퓨터적사고와이해,0
11234,1,3,컴퓨터적사고와조형적활용,0
11211,1,3,컴퓨팅적사고와프로그래밍,0
11215,0,3,통합적분쟁이해와조정,0
11364,1,3,푸드테크시대의음식과디자인,0
11361,1,3,프로그래밍을위한컴퓨팅적사고,0
38419,0,3,건축도시시스템공학개론,0
38420,1,3,공학커뮤니케이션,0
38421,1,3,역학기초,0
37287,0,3,건축정보모델링및활용,0
38422,1,3,전산수치해석,0
20410,1,1,일반물리학실험I,0
20418,0,1,일반화학실험I,0
20406,1,3,미분적분학,0
34980,1,3,확률및통계학,0
36341,1,3,공학수학,0
36573,1,1,공학수학연습,0
